category,name,glycemic_index,glycemic_load,calories (kcal),proteins (g),carbohydrates (g),fats (g)
Baked products,Straw,60.0,41.6,372.0,9.1,69.3,6.1
Baked products,Rye crackers,64.0,44.8,336.0,16.0,70.0,1.0
Baked products,"Sandwich bread, white",75.0,39.4,285.0,7.3,52.5,3.9
Baked products,French baguette made from wheat flour,70.0,23.4,179.0,6.5,33.4,2.4
Baked products,Bread (oatmeal),47.0,19.2,226.0,7.1,40.8,3.2
Baked products,White bread “baguette”,70.0,36.0,262.0,7.5,51.4,2.9
Baked products,Gluten free white bread,90.0,14.0,129.0,3.5,15.6,5.8
Baked products,Buckwheat bread,50.0,22.9,228.0,7.1,45.8,2.5
Baked products,Brown yeast bread,65.0,26.0,250.0,13.0,40.0,3.0
Baked products,White flour bread,90.0,43.9,242.0,8.1,48.8,1.0
Baked products,Wholemeal bread,65.0,31.2,250.0,7.0,48.0,1.0
Baked products,Germinated bread,35.0,12.7,204.0,6.8,36.4,3.1
Baked products,Milk bread,60.0,29.9,243.0,7.1,49.8,2.1
Baked products,Pumpernickel Bread,45.0,21.6,250.0,9.0,48.0,3.1
Baked products,Rice Bread,70.0,48.0,306.0,6.3,68.6,0.7
Baked products,Bran bread,65.0,29.4,227.0,7.0,45.2,1.3
Baked products,Pumpkin bread,40.0,17.0,211.0,5.5,42.6,2.4
Baked products,Fruit bread,47.0,24.4,370.0,7.6,52.0,7.4
